""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
New Adventures of Pippi Longstocking, The (1988) : 5500
New Daughter, The (2009) : 7747
New Guy, The (2002) : 4090
New World, The (2005) : 6310
New York Ripper, The (Squartatore di New York, Lo) (1982) : 4476
New York, I Love You (2009) : 7337
New York, New York (1977) : 5772
Newton Boys, The (1998) : 1405
Next Best Thing, The (2000) : 2662
Next Karate Kid, The (1994) : 449
Next Three Days, The (2010) : 7643
Night Listener, The (2006) : 6472
Night Porter, The (Portiere di notte, Il) (1974) : 1634
Night at the Opera, A (1935) : 5005
Night at the Roxbury, A (1998) : 1817
Night in the Life of Jimmy Reardon, A (1988) : 3567
Night of the Generals, The (1967) : 6702
Night of the Hunter, The (1955) : 4925
Night of the Iguana, The (1964) : 5282
Night of the Shooting Stars (Notte di San Lorenzo, La) (1982) : 4464
Night to Remember, A (1958) : 2717
Nightmare Before Christmas, The (1993) : 494
Nightmare on Elm Street 2: Freddy's Revenge, A (1985) : 1531
Nightmare on Elm Street 3: Dream Warriors, A (1987) : 1532
Nightmare on Elm Street 4: The Dream Master, A (1988) : 1533
Nightmare on Elm Street 5: The Dream Child, A (1989) : 1534
Nightmare on Elm Street, A (1984) : 1091
Nightmare on Elm Street, A (2010) : 7504
Nights of Cabiria (Notti di Cabiria, Le) (1957) : 1862
Nine Lives of Fritz the Cat, The (1974) : 3878
Ninth Configuration, The (a.k.a. Twinkle, Twinkle, Killer Kane) (1980) : 3996
Ninth Gate, The (1999) : 2682
No. 1 Ladies' Detective Agency, The (2008) : 7564
Nomi Song, The (2004) : 6028
Normal Heart, The (2014) : 8555
Norte, El (1984) : 5789
Northerners, The (De noorderlingen) (1992) : 7568
Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922) : 1092
Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008) : 7308
Notebook, The (2004) : 5435
Now You See Him, Now You Don't (1972) : 5440
Now, Voyager (1942) : 3821
Number 23, The (2007) : 6614
Nutty Professor, The (1963) : 1694
Nutty Professor, The (1996) : 652
O Auto da Compadecida (Dog's Will, A) (2000) : 5894
O Brother, Where Art Thou? (2000) : 3228
OH in Ohio, The (2006) : 6445
Object of My Affection, The (1998) : 1414
Occurrence at Owl Creek Bridge, An (La rivière du hibou) (1962) : 5714
Odd Couple II, The (1998) : 1424
Odd Couple, The (1968) : 2801
Officer and a Gentleman, An (1982) : 3239
Official Story, The (La historia oficial) (1985) : 3051
Oh, God! (1977) : 3998
Old Man and the Sea, The (1958) : 876
Omega Man, The (1971) : 2435
Omen, The (1976) : 1094
Omen, The (2006) : 6418
One I Love, The (2014) : 8627
One and Only, Genuine, Original Family Band, The (1968) : 5515
One, The (2001) : 3804
One, Two, Three (1961) : 4700
Onion Field, The (1979) : 4242
Onion Movie, The (2008) : 7014
Opportunists, The (2000) : 3087
Opposite of Sex, The (1998) : 1456
Order, The (2003) : 4753
Ordet (Word, The) (1955) : 4898
Original Kings of Comedy, The (2000) : 3091
Orphanage, The (Orfanato, El) (2007) : 6823
Oslo, August 31st (Oslo, 31. august) (2011) : 7908
Othello (Tragedy of Othello: The Moor of Venice, The) (1952) : 2279
Other Boleyn Girl, The (2008) : 6873
Other Guys, The (2010) : 7572
Other Shore, The (2013) : 8467
Other Sister, The (1999) : 2007
Other Woman, The (2014) : 8540
Others, The (2001) : 3699
Our Lady of the Assassins (Virgen de los sicarios, La) (2000) : 3732
Out of Towners, The (1970) : 5067
Out of the Furnace (Dust to Dust) (Low Dweller, The) (2013) : 8380
Out-of-Towners, The (1999) : 2065
Outlaw Josey Wales, The (1976) : 2802
Outsiders, The (1983) : 1674
Owl and the Pussycat, The (1970) : 3853
Pacifier, The (2005) : 6048
Package, The (1989) : 3638
Pagemaster, The (1994) : 500
Painted Veil, The (2006) : 6567
Pajama Game, The (1957) : 2302
Paleface, The (1922) : 7690
Paleface, The (1948) : 4009
Pallbearer, The (1996) : 539
Palm Beach Story, The (1942) : 2356
Pan's Labyrinth (Laberinto del fauno, El) (2006) : 6516
Pandora's Box (Büchse der Pandora, Die) (1929) : 5648
Paper Chase, The (1973) : 2985
Paper, The (1994) : 335
Paperboy, The (2012) : 8122
Paradine Case, The (1947) : 1748
Parallax View, The (1974) : 5225
Parent Trap, The (1961) : 817
Parent Trap, The (1998) : 1620
Paris, France (1993) : 501
Paris, I Love You (Paris, je t'aime) (2006) : 6607
Paris, Texas (1984) : 1058
Party, The (1968) : 3879
Passage to India, A (1984) : 4979
Passenger, The (Professione: reporter) (1975) : 5767
Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928) : 4901
Passion of the Christ, The (2004) : 5096
Past, The (Le passé) (2013) : 8300
Patch of Blue, A (1965) : 4490
Patience Stone, The (2012) : 8145
Patrik Age 1.5 (Patrik 1,5) (2008) : 7600
Patriot, The (2000) : 3002
Pawnbroker, The (1964) : 3029
Peacemaker, The (1997) : 1287
Peanuts Movie, The (2015) : 8979
Pelican Brief, The (1993) : 2247
People vs. Larry Flynt, The (1996) : 899
People, Places, Things (2015) : 8778
Perez Family, The (1995) : 264
Perfect Candidate, A (1996) : 900
Perfect Host, The (2010) : 7816
Perfect Murder, A (1998) : 1462
Perfect Score, The (2004) : 5072
Perfect Storm, The (2000) : 3004
Perfect World, A (1993) : 453
Perils of Pauline, The (1947) : 2678
Perks of Being a Wallflower, The (2012) : 8117
Personal Journey with Martin Scorsese Through American Movies, A (1995) : 6374
Pervert's Guide to Cinema, The (2006) : 7080
Pervert's Guide to Ideology, The (2012) : 8234
Pest, The (1997) : 1178
Petrified Forest, The (1936) : 5664
Phantom Tollbooth, The (1970) : 5307
Phantom of Liberty, The (Fantôme de la liberté, Le) (1974) : 5756
Phantom of the Opera, The (1925) : 5647
Phantom of the Opera, The (1989) : 5991
Phantom of the Opera, The (2004) : 5977
Phantom, The (1996) : 634
Philadelphia Experiment, The (1984) : 5453
Philadelphia Story, The (1940) : 719
Pianist, The (2002) : 4417
Piano Teacher, The (La pianiste) (2001) : 4033
Piano, The (1993) : 455
Picture of Dorian Gray, The (1945) : 5414
Pillow Book, The (1996) : 1240
Pink Panther 2, The (2009) : 7156
Pink Panther Strikes Again, The (1976) : 4740
Pink Panther, The (1963) : 4739
Pink Panther, The (2006) : 6345
Pirate Movie, The (1982) : 4468
Pirates! Band of Misfits, The (2012) : 8029
Place Beyond the Pines, The (2012) : 8268
Place in the Sun, A (1951) : 2774
Plague Dogs, The (1982) : 6568
Planes, Trains & Automobiles (1987) : 3205
Play House, The (1921) : 7689
Play It Again, Sam (1972) : 4976
Player, The (1992) : 1811
Pledge, The (2001) : 3251
Polar Express, The (2004) : 5614
Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994) : 6077
Pompatus of Love, The (1996) : 795
Pope of Greenwich Village, The (1984) : 1858
Portrait of a Lady, The (1996) : 1151
Poseidon Adventure, The (1972) : 1575
Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom, The (1993) : 5852
Possession, The (2012) : 8098
Postman Always Rings Twice, The (1946) : 5205
Postman Always Rings Twice, The (1981) : 2820
Postman, The (1997) : 1361
Postman, The (Postino, Il) (1994) : 54
Poughkeepsie Tapes, The (2007) : 7608
Power of Nightmares, The: The Rise of the Politics of Fear (2004) : 6703
Power of One, The (1992) : 5303
Powerpuff Girls, The (2002) : 4144
Prairie Home Companion, A (2006) : 6398
Preacher's Wife, The (1996) : 1105
Presidio, The (1988) : 2569
Prestige, The (2006) : 6535
Pride of the Yankees, The (1942) : 4244
Prime of Miss Jean Brodie, The (1969) : 5513
Prince & Me, The (2004) : 5125
Prince and the Showgirl, The (1957) : 5194
Prince of Egypt, The (1998) : 1904
Prince of Tides, The (1991) : 2819
Princess Bride, The (1987) : 954
Princess Diaries 2: Royal Engagement, The (2004) : 5533
Princess Diaries, The (2001) : 3684
Princess and the Frog, The (2009) : 7381
Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000) : 3466
Principal, The (1987) : 4175
Private Eyes, The (1981) : 3177
Private Life of Henry VIII, The (1933) : 6511
Prize Winner of Defiance Ohio, The (2005) : 6228
Producers, The (1968) : 1819
Producers, The (2005) : 6299
Professional, The (Le professionnel) (1981) : 4304
Program, The (1993) : 457
Promise, The (Versprechen, Das) (1995) : 585
Prophecy II, The (1998) : 1381
Prophecy, The (1995) : 166
Prophet, A (Un Prophète) (2009) : 7404
Proposal, The (2009) : 7226
Proposition, The (2005) : 6245
Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005) : 6403
Public Enemy, The (1931) : 4951
Punisher, The (1989) : 3640
Punisher, The (2004) : 5142
Puppet Masters, The (1994) : 458
Purge: Anarchy, The (2014) : 8601
Purple Rose of Cairo, The (1985) : 1625
Pursuit of Happyness, The (2006) : 6463
Pyromaniac's Love Story, A (1995) : 265
Queen Margot (Reine Margot, La) (1994) : 270
Queen of Versailles, The (2012) : 8089
Quest for Fire (Guerre du feu, La) (1981) : 2439
Quest, The (1996) : 596
Quick and the Dead, The (1995) : 271
Quiet American, The (2002) : 4354
Quiet Earth, The (1985) : 5802
Quiet Man, The (1952) : 982
Rachel, Rachel (1968) : 6851
Rage: Carrie 2, The (1999) : 2041
Raiders of Atlantis, The (1983) : 5790
Railway Children, The (1970) : 4631
Rainmaker, The (1956) : 6468
Rainmaker, The (1997) : 1329
Raisin in the Sun, A (1961) : 2679
Rape of Europa, The (2006) : 6963
Rapture, The (1991) : 1586
Raven, The (1963) : 2225
Raven, The (2012) : 8011
Razor's Edge, The (1946) : 5353
Razor's Edge, The (1984) : 2350
Reader, The (2008) : 7091
Rebound, The (2009) : 7571
Recruit, The (2003) : 4445
Red Balloon, The (Ballon rouge, Le) (1956) : 6489
Red Chapel, The (Røde kapel, Det) (2009) : 7511
Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994) : 277
Red Violin, The (Violon rouge, Le) (1998) : 2148
Ref, The (1994) : 460
Reflecting Skin, The (1990) : 5830
Relic, The (1997) : 706
Reluctant Debutante, The (1958) : 759
Remains of the Day, The (1993) : 461
Replacement Killers, The (1998) : 1387
Replacements, The (2000) : 3088
Rescuers Down Under, The (1990) : 1649
Rescuers, The (1977) : 1650
Return of Jafar, The (1994) : 1652
Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982) : 917
Return of Swamp Thing, The (1989) : 3650
Return of the Living Dead, The (1985) : 3572
Return of the Pink Panther, The (1975) : 902
Return, The (Vozvrashcheniye) (2003) : 5946
Revenant, The (2009) : 7949
Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003) : 4872
Rewrite, The (2014) : 8661
Rich Man's Wife, The (1996) : 801
Right Stuff, The (1983) : 986
Ring Two, The (2005) : 5949
Ring, The (2002) : 4262
Ringer, The (2005) : 6304
Rite, The (2011) : 7713
River Runs Through It, A (1992) : 2492
River Wild, The (1994) : 340
River, The (1984) : 2501
Road Warrior, The (Mad Max 2) (1981) : 2957
Road to El Dorado, The (2000) : 2781
Road to Guantanamo, The (2006) : 6443
Road to Wellville, The (1994) : 464
Road, The (2009) : 7050
Robe, The (1953) : 4539
Rock, The (1996) : 615
Rocketeer, The (1991) : 1654
Rocky Horror Picture Show, The (1975) : 2129
Romantics, The (2010) : 7652
Rome, Open City (a.k.a. Open City) (Roma, città aperta) (1945) : 4056
Rookie, The (1990) : 4817
Rookie, The (2002) : 4032
Room with a View, A (1986) : 1049
Room, The (2003) : 7453
Rose Tattoo, The (1955) : 5589
Rose, The (1979) : 4771
Royal Affair, A (Kongelig affære, En) (2012) : 8124
Royal Tenenbaums, The (2001) : 3860
Rudolph, the Red-Nosed Reindeer (1964) : 7416
Rugrats Movie, The (1998) : 1865
Ruins, The (2008) : 6904
Rules of Attraction, The (2002) : 4252
Rules of the Game, The (La règle du jeu) (1939) : 4798
Ruling Class, The (1972) : 923
Rum Diary, The (2011) : 7913
Run of the Country, The (1995) : 579
Runaways, The (2010) : 7489
Rundown, The (2003) : 4784
Running Man, The (1987) : 2952
Russia House, The (1990) : 3897
Russians Are Coming, the Russians Are Coming, The (1966) : 4314
Sacrament, The (2013) : 8621
Sacrifice, The (Offret - Sacraficatio) (1986) : 5807
Saddest Music in the World, The (2003) : 5931
Saint, The (1997) : 1194
Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976) : 4932
Salton Sea, The (2002) : 4069
Salvation, The (2014) : 8659
Same Love, Same Rain (El mismo amor, la misma lluvia) (1999) : 8486
Same River Twice, The (2003) : 5469
Same Time, Next Year (1978) : 4795
Samouraï, Le (Godson, The) (1967) : 5180
Sand Pebbles, The (1966) : 3436
Sandlot, The (1993) : 3947
Santa Clause 3: The Escape Clause, The (2006) : 6545
Santa Clause, The (1994) : 283
Savage Nights (Nuits fauves, Les) (1992) : 471
Savages, The (2007) : 6821
Scanner Darkly, A (2006) : 5964
Scarlet Letter, The (1926) : 777
Scarlet Letter, The (1995) : 169
Science of Sleep, The (La science des rêves) (2006) : 6503
Score, The (2001) : 3512
Scotland, Pa. (2001) : 3940
Scout, The (1994) : 473
Sea Inside, The (Mar adentro) (2004) : 5937
Searchers, The (1956) : 2691
Secret Adventures of Tom Thumb, The (1993) : 354
Secret Agent, The (1996) : 842
Secret Garden, The (1993) : 475
Secret Life of Walter Mitty, The (1947) : 5236
Secret Life of Walter Mitty, The (2013) : 8441
Secret Life of Words, The (2005) : 6470
Secret Lives of Dentists, The (2002) : 4707
Secret Policeman's Other Ball, The (1982) : 4473
Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010) : 7680
Secret in Their Eyes, The (El secreto de sus ojos) (2009) : 7289
Secret of NIMH, The (1982) : 1697
Secret of Roan Inish, The (1994) : 280
Secret, The (2006) : 6595
Seducing Doctor Lewis (Grande séduction, La) (2003) : 5320
Seduction of Joe Tynan, The (1979) : 7199
See No Evil, Hear No Evil (1989) : 3657
Seeker: The Dark Is Rising, The (2007) : 6768
Selfish Giant, The (2013) : 8414
Sentinel, The (2006) : 6399
Separation, A (Jodaeiye Nader az Simin) (2011) : 7867
Separation, The (Séparation, La) (1994) : 2298
Serbian Film, A (Srpski film) (2010) : 7560
Serious Man, A (2009) : 7315
Serpent and the Rainbow, The (1988) : 3578
Servant, The (1963) : 3891
Sessions, The (Surrogate, The) (2012) : 8150
Set-Up, The (1949) : 5511
Seven Year Itch, The (1955) : 3454
Seven-Per-Cent Solution, The (1976) : 6041
Seventh Continent, The (Der siebente Kontinent) (1989) : 6506
Seventh Heaven (Septième ciel, Le) (1997) : 1623
Seventh Seal, The (Sjunde inseglet, Det) (1957) : 992
Seventh Sign, The (1988) : 1789
Seventh Victim, The (1943) : 6422
Sex, Lies, and Videotape (1989) : 944
Shadow, The (1994) : 477
Shaggy D.A., The (1976) : 1655
Shaggy Dog, The (1959) : 820
Shakiest Gun in the West, The (1968) : 4824
Shape of Things, The (2003) : 4586
Shawshank Redemption, The (1994) : 284
Sheltering Sky, The (1990) : 1805
Shining, The (1980) : 1012
Shipping News, The (2001) : 3887
Shock to the System, A (1990) : 5492
Shooter, The (1997) : 940
Shootist, The (1976) : 3691
Shop Around the Corner, The (1940) : 2489
Shop on Main Street, The (Obchod na korze) (1965) : 3757
Short Film About Killing, A (Krótki film o zabijaniu) (1988) : 5482
Shot in the Dark, A (1964) : 4966
Siege, The (1998) : 1847
Silence of the Lambs, The (1991) : 525
Simple Plan, A (1998) : 1901
Simple Twist of Fate, A (1994) : 480
Simple Wish, A (1997) : 1256
Simpsons Movie, The (2007) : 6721
Simpsons: The Longest Daycare, The (2012) : 8669
Singing Detective, The (2003) : 4859
Single Man, A (2009) : 7378
Sisterhood of the Traveling Pants 2, The (2008) : 6995
Sisterhood of the Traveling Pants, The (2005) : 6134
Sitter, The (2011) : 7918
Sixth Sense, The (1999) : 2212
Skeleton Key, The (2005) : 6183
Skin I Live In, The (La piel que habito) (2011) : 7849
Skulls, The (2000) : 2782
Slammin' Salmon, The (2009) : 7476
Slaughter Rule, The (2002) : 4505
Sleeping Car Murder, The (Compartiment tueurs) (1965) : 8175
Slumber Party Massacre, The (1982) : 3147
Slums of Beverly Hills, The (1998) : 1713
Small Circle of Friends, A (1980) : 5556
Smile Like Yours, A (1997) : 1299
Smurfs 2, The (2013) : 8350
Smurfs, The (2011) : 7826
Snake Pit, The (1948) : 5501
Snapper, The (1993) : 5853
Snow Walker, The (2003) : 6126
Snowman, The (1982) : 7925
Snows of Kilimanjaro, The (1952) : 2579
Social Network, The (2010) : 7594
Soldier's Daughter Never Cries, A (1998) : 1800
Soldier's Story, A (1984) : 2283
Soloist, The (2009) : 7209
Son of the Bride (Hijo de la novia, El) (2001) : 4219
Son of the Sheik, The (1926) : 2787
Son's Room, The (Stanza del figlio, La) (2001) : 3926
Son, The (Le fils) (2002) : 4423
Song of Bernadette, The (1943) : 4659
Song to Remember, A (1945) : 7591
Sorcerer's Apprentice, The (2010) : 7554
Sorrow and the Pity, The (Le chagrin et la pitié) (1969) : 6100
Sorry, Wrong Number (1948) : 4130
Sound of Music, The (1965) : 839
South Park: Bigger, Longer and Uncut (1999) : 2160
Spanish Apartment, The (L'auberge espagnole) (2002) : 4601
Spanish Prisoner, The (1997) : 1421
Specialist, The (1994) : 281
Specials, The (2000) : 3118
Spider Baby or, The Maddest Story Ever Told (Spider Baby) (1968) : 5721
Spiderwick Chronicles, The (2008) : 6870
Spirit of St. Louis, The (1957) : 5708
Spirit, The (2008) : 7015
Spitfire Grill, The (1996) : 689
SpongeBob SquarePants Movie, The (2004) : 5621
Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003) : 5306
Spy Next Door, The (2010) : 7442
Spy Who Came in from the Cold, The (1965) : 5518
Spy Who Loved Me, The (1977) : 2902
Squid and the Whale, The (2005) : 6236
Star Is Born, A (1937) : 2586
Star Is Born, A (1954) : 5699
Star Is Born, A (1976) : 6006
Star Maker, The (Uomo delle stelle, L') (1995) : 112
State of Things, The (Stand der Dinge, Der) (1982) : 4477
Statement, The (2003) : 5016
Station Agent, The (2003) : 4840
Steal Big, Steal Little (1995) : 108
Steamboat Bill, Jr. (1928) : 5650
Stepfather, The (1987) : 3662
Stepford Wives, The (1975) : 1857
Stepford Wives, The (2004) : 5392
Sterile Cuckoo, The (1969) : 6716
Sting II, The (1983) : 5541
Sting, The (1973) : 989
Story of Adele H., The (Histoire d'Adèle H., L') (1975) : 5765
Story of Qiu Ju, The (Qiu Ju da guan si) (1992) : 5845
Story of Us, The (1999) : 2375
Story of Xinghua, The (Xinghua san yue tian) (1994) : 686
Strada, La (1954) : 5060
Straight Story, The (1999) : 2378
Strange Love of Martha Ivers, The (1946) : 3171
Stranger Among Us, A (1992) : 4654
Strangers, The (2008) : 6940
Street Fighter, The (Gekitotsu! Satsujin ken) (1974) : 5258
Streetcar Named Desire, A (1951) : 893
String, The (Le fil) (2009) : 8477
Stunt Man, The (1980) : 3840
Stupids, The (1996) : 624
Substance of Fire, The (1996) : 1123
Substitute, The (1996) : 588
Suburbans, The (1999) : 2410
Suddenly, Last Summer (1959) : 3096
Sugarland Express, The (1974) : 2990
Sum of All Fears, The (2002) : 4112
Sum of Us, The (1994) : 289
Summer Hours (Heure d'été, L') (2008) : 7215
Summer Place, A (1959) : 5004
Sunday in the Country, A (Un dimanche à la campagne) (1984) : 4826
Sunset Limited, The (2011) : 7734
Super, The (1991) : 5502
Superweib, Das (1996) : 563
Sure Thing, The (1985) : 4728
Suriyothai (a.k.a. Legend of Suriyothai, The) (2001) : 5066
Survivors, The (1983) : 4088
Swan Princess, The (1994) : 279
Swedish Love Story, A (Kärlekshistoria, En) (1970) : 5741
Sweet Hereafter, The (1997) : 1358
Sweetest Thing, The (2002) : 4048
Switch, The (2010) : 7586
Sword in the Stone, The (1963) : 829
Sword of Doom, The (Dai-bosatsu tôge) (1966) : 6074
Synecdoche, New York (2008) : 7038
Tailor of Panama, The (2001) : 3373
Taking of Pelham 1 2 3, The (2009) : 7225
Taking of Pelham One Two Three, The (1974) : 2698
Tale of Despereaux, The (2008) : 7122
Tale of Ham and Passion, A (Jamón, Jamón) (1992) : 5369
Tale of Springtime, A (Conte de Printemps) (1990) : 4014
Tale of Two Sisters, A (Janghwa, Hongryeon) (2003) : 5293
Talented Mr. Ripley, The (1999) : 2553
Talk of the Town, The (1942) : 4517
Taming of the Shrew, The (1967) : 2431
Tango Lesson, The (1997) : 1326
Tao of Steve, The (2000) : 3081
Tarzan, the Ape Man (1981) : 4345
Taste of Others, The (Le goût des autres) (2000) : 3311
Temp, The (1993) : 4077
Temptations, The (1998) : 6332
Ten Commandments, The (1956) : 5131
Tenant, The (Locataire, Le) (1976) : 4678
Terminal, The (2004) : 5432
Terminator, The (1984) : 994
Terror, The (1963) : 5577
Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998) : 2566
Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933) : 5488
Tetsuo, the Ironman (Tetsuo) (1988) : 3584
Texas Chainsaw Massacre 2, The (1986) : 1967
Texas Chainsaw Massacre, The (1974) : 1966
Texas Chainsaw Massacre, The (2003) : 4850
Texas Chainsaw Massacre: The Beginning, The (2006) : 6520
That's Entertainment, Part II (1976) : 5634
They Shoot Horses, Don't They? (1969) : 2419
Thief and the Cobbler, The (a.k.a. Arabian Knight) (1995) : 6070
Thief of Bagdad, The (1924) : 5085
Thieves (Voleurs, Les) (1996) : 1149
Thin Blue Line, The (1988) : 947
Thin Line Between Love and Hate, A (1996) : 548
Thin Man Goes Home, The (1945) : 5239
Thin Man, The (1934) : 770
Thin Red Line, The (1998) : 1936
Thing from Another World, The (1951) : 2131
Thing, The (1982) : 1810
Thing, The (2011) : 7882
Third Man, The (1949) : 968
Third Miracle, The (1999) : 2560
Thirteenth Floor, The (1999) : 2139
This World, Then the Fireworks (1997) : 1570
Thomas Crown Affair, The (1968) : 2214
Thomas Crown Affair, The (1999) : 2213
Thousand Acres, A (1997) : 1293
Thousand Clowns, A (1965) : 5724
Thousand Words, A (2012) : 8037
Three Burials of Melquiades Estrada, The (2006) : 6296
Three Caballeros, The (1945) : 828
Three Faces of Eve, The (1957) : 5161
Three Lives of Thomasina, The (1964) : 5514
Three Musketeers, The (1933) : 7291
Three Musketeers, The (1973) : 6042
Three Musketeers, The (1993) : 495
Three Musketeers, The (2011) : 7886
Three Stooges, The (2012) : 8010
Thrill of It All, The (1963) : 4492
Tie That Binds, The (1995) : 176
Tiger and the Snow, The (La tigre e la neve) (2005) : 6500
Tigger Movie, The (2000) : 2638
Tillman Story, The (2010) : 7654
Time Machine, The (1960) : 3165
Time Machine, The (2002) : 3982
Time Traveler's Wife, The (2009) : 7275
Time of the Wolf, The (Le temps du loup) (2003) : 5386
Time to Kill, A (1996) : 661
Timecrimes (Cronocrímenes, Los) (2007) : 7126
Times of Harvey Milk, The (1984) : 5799
Tin Drum, The (Blechtrommel, Die) (1979) : 922
Tin Star, The (1957) : 5483
Tingler, The (1959) : 2226
Tinker, Tailor, Soldier, Spy (1979) : 5212
To Do List, The (2013) : 8385
To Have, or Not (En avoir (ou pas)) (1995) : 1241
To Wong Foo, Thanks for Everything! Julie Newmar (1995) : 179
Tomb of Ligeia, The (1965) : 2228
Topo, El (1970) : 5747
Tourist, The (2010) : 7663
Towering Inferno, The (1974) : 2021
Town, The (2010) : 7595
Toxic Avenger Part III: The Last Temptation of Toxie, The (1989) : 2949
Toxic Avenger, Part II, The (1989) : 2948
Toxic Avenger, The (1985) : 2947
Toy, The (1982) : 3827
Tracey Fragments, The (2007) : 6987
Transporter, The (2002) : 4204
Treasure of the Sierra Madre, The (1948) : 1008
Tree of Life, The (2011) : 7786
Trial, The (Procès, Le) (1962) : 4648
Trials of Henry Kissinger, The (2002) : 4228
Trigger Effect, The (1996) : 709
Trip to Bountiful, The (1985) : 1629
Trip to Italy, The (2014) : 8608
Trip to the Moon, A (Voyage dans la lune, Le) (1902) : 6103
Trip, The (1967) : 5288
Trip, The (2002) : 4587
Trip, The (2010) : 7701
Triplets of Belleville, The (Les triplettes de Belleville) (2003) : 4791
Troll Hunter, The (Trolljegeren) (2010) : 7743
Troll in Central Park, A (1994) : 3977
Trouble with Harry, The (1955) : 1736
Truce, The (a.k.a. La Tregua) (1996) : 4657
Truly, Madly, Deeply (1991) : 3898
Truman Show, The (1998) : 1336
Truth About Cats & Dogs, The (1996) : 599
Truth About Charlie, The (2002) : 4307
Truth or Consequences, N.M. (1997) : 1221
Tunnel, The (2011) : 7790
Tunnel, The (Tunnel, Der) (2001) : 5890
Turning Point, The (1977) : 5774
Tuxedo, The (2002) : 4230
Twelve Chairs, The (1970) : 2892
Twilight Saga: Breaking Dawn - Part 1, The (2011) : 7911
Twilight Saga: Eclipse, The (2010) : 7540
Twilight Saga: New Moon, The (2009) : 7364
Twilight Samurai, The (Tasogare Seibei) (2002) : 5921
Two Days, One Night (Deux jours, une nuit) (2014) : 8624
Two Escobars, The (2010) : 7573
Two Jakes, The (1990) : 2525
U.S. vs. John Lennon, The (2006) : 6532
Ugly American, The (1963) : 4767
Ugly Dachshund, The (1966) : 5428
Ugly Truth, The (2009) : 7258
Ugly, The (1997) : 1461
Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964) : 175
Unbearable Lightness of Being, The (1988) : 1048
Unbelievable Truth, The (1989) : 3332
Under the Same Moon (Misma luna, La) (2007) : 6896
Unfinished Life, An (2005) : 6215
Unforgiven, The (1960) : 4649
Uninvited, The (1944) : 6127
Unknown Soldier, The (Tuntematon sotilas) (1955) : 5703
Unmarried Woman, An (1978) : 6152
Unreasonable Man, An (2006) : 6760
Unsinkable Molly Brown, The (1964) : 3169
Unsuspected, The (1947) : 7153
Untouchables, The (1987) : 1744
Unvanquished, The (Aparajito) (1957) : 4866
Upside of Anger, The (2005) : 5989
Usual Suspects, The (1995) : 48
Valachi Papers,The (1972) : 5269
Vampyros Lesbos (Vampiras, Las) (1971) : 2585
Van, The (1996) : 1196
Vanishing, The (Spoorloos) (1988) : 3582
Velocity of Gary, The (1998) : 2172
Verdict, The (1982) : 2465
Vernon, Florida (1981) : 4372
Veronika Voss (Sehnsucht der Veronika Voss, Die) (1982) : 4474
Vertical Ray of the Sun, The (Mua he chieu thang dung) (2000) : 3475
Very Brady Sequel, A (1996) : 668
Very Harold & Kumar 3D Christmas, A (2011) : 7838
Very Long Engagement, A (Un long dimanche de fiançailles) (2004) : 5915
Vie en Rose, La (Môme, La) (2007) : 6659
View to a Kill, A (1985) : 1886
Village, The (2004) : 5522
Virgin Spring, The (Jungfrukällan) (1960) : 5234
Virgin Suicides, The (1999) : 2842
Visit, The (2015) : 8924
Visitor, The (2007) : 6908
Visitors, The (Visiteurs, Les) (1993) : 605
Vitelloni, I (a.k.a. The Young and the Passionate) (1953) : 5553
Vow, The (2012) : 7972
Wackiest Ship in the Army, The (1960) : 5636
Wackness, The (2008) : 6966
Wages of Fear, The (Salaire de la peur, Le) (1953) : 5196
Walk in the Clouds, A (1995) : 183
Walk on the Moon, A (1999) : 2061
Walk to Remember, A (2002) : 3922
Walking Dead, The (1995) : 301
Wanderers, The (1979) : 4213
War Room, The (1993) : 499
War Zone, The (1999) : 2533
War of the Roses, The (1989) : 3671
War of the Worlds, The (1953) : 2133
War, Inc. (2008) : 6934
War, The (1994) : 305
Warrior's Way, The (2010) : 7691
Warriors, The (1979) : 5226
Wash, The (2001) : 3809
Wasp Woman, The (1959) : 5331
Watch, The (2012) : 8069
Watcher, The (2000) : 3111
Water Diviner, The (2014) : 8704
Water Horse: Legend of the Deep, The (2007) : 6839
Waterboy, The (1998) : 1848
Waterdance, The (1992) : 3892
Wave, The (Welle, Die) (2008) : 7039
